country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Papua New Guinea;57.9;58.2;58.5;25;28;29;;;;3.5;3;3;18.6;0.786;0.869;41.9;41.9;41.9;62.8;0;0;0;0.00484;0.00418;0.00403
Paraguay;75.8;75.9;76.1;27;30;29;0;0.117;0;3;3;3;2.69;2.69;2.69;48.4;48.4;47.8;110;36.7;37.3;39.2;0.0107;0.00952;0.00894
Peru;80;80.2;80.3;36;35;37;0.126;0.115;0.117;2.5;2.5;2.5;4.19;4.19;4.19;43.7;43.6;43.7;260;32.6;32.6;32.3;0.0173;0.013;0.0125
Philippines;69.2;69.5;69.7;35;35;34;0;0;0;3;3;3;4.42;4.13;3.94;42.7;42.4;42.2;50.3;34.8;0;0;0.0114;0.0109;0.0131
Poland;77.5;77.8;78;63;62;60;0.238;0.231;0;1;1.5;1.5;3.3;3.36;3.56;31.7;31.3;31;1070;24.2;24.6;23.5;0.0214;0.0194;0.019
Portugal;81.5;81.5;81.4;64;62;63;0.225;0;0;1;1;1;1.35;1.61;1.73;35.7;35.5;35.5;1920;27.3;27.6;26.7;0.0179;0.02;0.0168
Qatar;79.9;80.1;80.2;71;61;63;0;0;0;5.5;5.5;5.5;-0.855;0.381;2.55;40;40;40;1260;;;;0;0;0
Romania;75.1;75.2;75.2;46;48;48;0.0865;0.0783;0;2;2;2;2.69;3.08;3.56;32.1;31.4;29.8;634;24.8;23.7;24.9;0.0145;0.014;0.0172
Russia;71.3;71.8;72.1;29;29;29;;;;6;6.5;6.5;2.37;2.55;2.55;38.8;38.2;37.7;620;29.7;28.6;29.2;0.0486;0.0545;0.0423
Rwanda;67.7;68;68.5;54;54;55;0.0554;0.0547;0;6;6;6;5.29;5.29;5.29;45.3;45.1;45.1;60.6;0;35.6;0;0.0125;0.0128;0.0126
Sao Tome and Principe;70.3;70.6;66.9;42;46;46;0;0;0;2;2;2;3.45;3.52;4.06;30.8;30.8;30.8;54.4;0;0;49.1;;;
Saudi Arabia;76.2;76.6;76.9;52;46;49;0;0;0;7;7;7;2.16;2.16;2.19;40;40;40;608;;;;0.133;0.0987;0.102
Senegal;67.5;67.8;68;44;45;45;0.137;0.118;0;2;2;2;1.83;2.13;2.11;40.3;40.3;40.3;60.3;0;0;0;0.0121;0.0161;0.0146
Serbia;75.1;75.5;75.7;40;42;41;0.437;0;0;2;2.5;2.5;1.5;2;2.5;35.2;35.1;34.1;723;29.2;27.3;25.6;0.0183;0.0175;0.0184
Seychelles;73.5;73.5;73.6;55;;60;0;0.142;0;3;3;3;2.6;2.48;2.42;46.8;46.8;46.8;722;0;0;0;0.0131;0.0154;0.0143
